MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JAN/2021, FEV/2021, MAR/2021, ABR/2021, MAI/2021, JUN/2021, JUL/2021, AGO/2021, SET/2021, OUT/2021, NOV/2021, DEZ/2021."
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Hipertensão arterial, Diabetes, Obesidade, Tabagismo."


Uf;Ibge;Municipio;Hipertensão arterial;Diabetes;Obesidade;Tabagismo;
SC;420280;BRAÇO DO NORTE;17.843;4.037;4.261;71;
SC;421567;SANTA TEREZINHA;1.857;493;158;150;
SC;420910;JOINVILLE;86.607;62.416;14.848;2.273;
SC;420450;CORUPÁ;2.917;939;538;60;
SC;421040;MARACAJÁ;2.454;855;20;86;
SC;420287;BRUNÓPOLIS;519;122;17;3;
SC;420757;IOMERÊ;1.622;385;110;4;
SC;420980;LEOBERTO LEAL;436;129;19;19;
SC;421400;PRESIDENTE GETÚLIO;1.896;632;334;128;
SC;420253;BOM JESUS;930;159;107;83;
SC;421507;RIQUEZA;855;587;43;10;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
E-mail: sisab@saude.gov.br;
Dado gerado em: 07 de Abril de 2022 - 10:26h
Coordenação Geral de Informação da Atenção Primária - CGIAP/DESF
